nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Gini Rasio";Perdesaan;2002;Tahunan;-;PAPUA
"Gini Rasio";Perdesaan;2002;Tahunan;0.26;INDONESIA
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;-;ACEH
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.299;"SUMATERA UTARA"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.28;"SUMATERA BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.314;RIAU
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.273;JAMBI
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.303;"SUMATERA SELATAN"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.265;BENGKULU
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.266;LAMPUNG
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.261;"KEP. BANGKA BELITUNG"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;-;"KEP. RIAU"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.38;"DKI JAKARTA"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.301;"JAWA BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.295;"JAWA TENGAH"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.38;"DI YOGYAKARTA"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.322;"JAWA TIMUR"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.344;BANTEN
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.316;BALI
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.278;"NUSA TENGGARA BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.301;"NUSA TENGGARA TIMUR"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.312;"KALIMANTAN BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.258;"KALIMANTAN TENGAH"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.304;"KALIMANTAN SELATAN"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.321;"KALIMANTAN TIMUR"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;-;"KALIMANTAN UTARA"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.282;"SULAWESI UTARA"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.294;"SULAWESI TENGAH"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.312;"SULAWESI SELATAN"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.281;"SULAWESI TENGGARA"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.253;GORONTALO
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;-;"SULAWESI BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;-;MALUKU
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;-;"MALUKU UTARA"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;-;"PAPUA BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;-;PAPUA
"Gini Rasio";Perkotaan+Perdesaan;2002;Tahunan;0.341;INDONESIA
"Gini Rasio";Perkotaan;2005;Tahunan;0.332;ACEH
"Gini Rasio";Perkotaan;2005;Tahunan;0.298;"SUMATERA UTARA"
"Gini Rasio";Perkotaan;2005;Tahunan;0.384;"SUMATERA BARAT"
"Gini Rasio";Perkotaan;2005;Tahunan;0.314;RIAU
"Gini Rasio";Perkotaan;2005;Tahunan;0.243;JAMBI
"Gini Rasio";Perkotaan;2005;Tahunan;0.283;"SUMATERA SELATAN"
"Gini Rasio";Perkotaan;2005;Tahunan;0.236;BENGKULU
"Gini Rasio";Perkotaan;2005;Tahunan;0.277;LAMPUNG
"Gini Rasio";Perkotaan;2005;Tahunan;0.244;"KEP. BANGKA BELITUNG"
"Gini Rasio";Perkotaan;2005;Tahunan;0.397;"KEP. RIAU"
"Gini Rasio";Perkotaan;2005;Tahunan;0.337;"DKI JAKARTA"
"Gini Rasio";Perkotaan;2005;Tahunan;0.347;"JAWA BARAT"
"Gini Rasio";Perkotaan;2005;Tahunan;0.346;"JAWA TENGAH"
"Gini Rasio";Perkotaan;2005;Tahunan;0.369;"DI YOGYAKARTA"
"Gini Rasio";Perkotaan;2005;Tahunan;0.298;"JAWA TIMUR"
"Gini Rasio";Perkotaan;2005;Tahunan;0.261;BANTEN
"Gini Rasio";Perkotaan;2005;Tahunan;0.407;BALI
